id,deal_name,owner_code,client_code,deal_status,close_date,closure_probability,probability_weight,deal_value,weighted_value,tentative_close_date,deal_stage,product_deal,sector,created_date
DEAL-0001,Naruto,OWNER_001,COMPANY089,Open,,High,0.8,489360.0,391488.0,2026-02-26,B. Sales Qualified Leads,Service + Spectra,Mining,2025-12-26
DEAL-0002,Sasuke,OWNER_001,COMPANY091,Open,,Medium,0.5,17616960.0,8808480.0,2026-02-28,B. Sales Qualified Leads,Services,Mining,2025-09-15
DEAL-0003,Sasuke,OWNER_002,COMPANY124,Open,,Medium,0.5,611700.0,305850.0,2026-02-26,E. Proposal/Commercials Sent,Services,Powerline,2025-11-12
DEAL-0004,Sakura,OWNER_002,COMPANY046,Open,,Low,0.2,2348928.0,469785.60000000003,2026-03-20,E. Proposal/Commercials Sent,Services,Powerline,2025-10-14
DEAL-0005,Sakura,OWNER_002,COMPANY148,Open,,High,0.8,428190.0,342552.0,2026-02-26,E. Proposal/Commercials Sent,Services,Powerline,2025-10-10
DEAL-0006,Sakura,OWNER_002,COMPANY047,Open,,Medium,0.5,2936160.0,1468080.0,2026-02-12,E. Proposal/Commercials Sent,Services,Powerline,2025-07-07
DEAL-0007,Sakura,OWNER_003,COMPANY197,Open,,Low,0.2,305850000.0,61170000.0,2024-09-30,D. Feasibility,Pure Service,Tender,2024-08-30
DEAL-0008,Sakura,OWNER_001,COMPANY177,On Hold,,Medium,0.5,0.0,0.0,2025-06-11,M. Projects On Hold,Services,Powerline,2024-11-17
DEAL-0009,Sakura,OWNER_001,COMPANY094,Open,,Medium,0.5,0.0,0.0,2025-06-12,M. Projects On Hold,Services,Renewables,2024-11-17
DEAL-0010,Sakura,OWNER_001,COMPANY178,On Hold,,Medium,0.5,0.0,0.0,2025-06-23,M. Projects On Hold,Services,Renewables,2024-08-09
DEAL-0011,Sakura,OWNER_004,COMPANY149,Open,,High,0.8,4281900.0,3425520.0,2026-01-31,H. Work Order Received,Spectra + DMO,DSP,2025-11-19
DEAL-0012,Sakura,OWNER_004,COMPANY149,Open,,Low,0.2,6117000.0,1223400.0,2026-03-25,F. Negotiations,Hardware,DSP,2025-11-19
DEAL-0013,Sakura,OWNER_002,COMPANY171,Open,,Low,0.2,1835100.0,367020.0,2026-02-20,E. Proposal/Commercials Sent,Services,Renewables,2025-05-21
DEAL-0014,Sakura,OWNER_003,COMPANY111,Open,,Medium,0.5,7832265.523,3916132.7615,2026-01-31,E. Proposal/Commercials Sent,Pure Service,Railways,2025-09-15
DEAL-0015,Sakura,OWNER_003,COMPANY111,Open,,Medium,0.5,7832265.523,3916132.7615,2026-02-28,E. Proposal/Commercials Sent,Pure Service,Railways,2026-01-08
DEAL-0016,Sakura,OWNER_003,COMPANY111,Open,,Medium,0.5,7832265.523,3916132.7615,2026-03-31,E. Proposal/Commercials Sent,Pure Service,Railways,2026-01-08
DEAL-0017,Sakura,OWNER_004,COMPANY149,Open,,High,0.8,12234000.0,9787200.0,2026-02-14,E. Proposal/Commercials Sent,Dock + DMO + Spectra + Service,DSP,
DEAL-0018,Sakura,OWNER_004,COMPANY129,Open,,High,0.8,1835100.0,1468080.0,2026-01-08,F. Negotiations,Service + Spectra,Mining,2025-11-14
DEAL-0019,Sakura,OWNER_004,COMPANY129,Open,,Medium,0.5,1101060.0,550530.0,2026-01-15,E. Proposal/Commercials Sent,Dock + Spectra + Service,Mining,2025-11-14
DEAL-0020,Sakura,OWNER_004,COMPANY107,Open,,Medium,0.5,3670200.0,1835100.0,2026-01-15,E. Proposal/Commercials Sent,Dock + DMO + Spectra + Service,DSP,2025-11-14
DEAL-0021,Sakura,OWNER_004,COMPANY103,Open,,Low,0.2,5505300.0,1101060.0,2026-02-13,E. Proposal/Commercials Sent,Dock + DMO + Spectra + Service,DSP,2025-11-14
DEAL-0022,Sakura,OWNER_004,COMPANY077,Open,,Low,0.2,367020.0,73404.0,2025-12-15,C. Demo Done,Pure Service,DSP,2025-11-14
DEAL-0023,Sakura,OWNER_004,COMPANY026,Open,,High,0.8,122340.0,97872.0,2026-03-10,E. Proposal/Commercials Sent,Dock + DMO + Spectra,Construction,2025-11-14
DEAL-0024,Sakura,OWNER_004,COMPANY193,Open,,High,0.8,122340.0,97872.0,2026-01-31,F. Negotiations,Service + Spectra,Mining,2025-11-14
